stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,CorrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
23,0.5,7.5,32.91697140003089,,32.90168320003431,32.91697140003089,33.415252099977806,33.415252099977806,33.431996700004674,33.71464429993648,33.95367339998484,right,7.5,1,1,0.535824800026603,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
24,0.5,7.5,33.96660109993536,,33.95388839999214,33.96660109993536,34.46480169997085,34.46480169997085,34.46480169997085,34.76484750001691,35.11643950000871,right,7.5,1,1,0.6444452001014724,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
25,0.5,7.0,35.13211140001658,,35.11656779993791,35.13211140001658,35.63251829997171,35.63251829997171,35.63251829997171,35.94741050002631,36.06491369998548,right,7.0,1,1,0.4290175000205636,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
26,0.5,7.0,36.080596199957654,,36.06497629999649,36.080596199957654,36.564929499989375,36.564929499989375,36.58192369993776,36.8648970000213,37.18664950004313,right,7.0,1,1,0.6038834999781102,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
27,0.5,7.0,37.20050939999055,,37.186889500007965,37.20050939999055,37.69777269999031,37.69777269999031,37.714141199947335,37.99860449996777,38.149395099957474,left,-7.0,0,0,0.44586160010658205,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
28,0.5,7.5,38.16442449996248,,38.14952460001223,38.16442449996248,38.649561399943195,38.649561399943195,38.665356699959375,38.96510839997791,39.41470379999373,left,-7.5,1,1,0.757967000012286,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
29,0.5,7.5,39.43062719993759,,39.414781900006346,39.43062719993759,39.9155044000363,39.9155044000363,39.932461499935016,40.21477289998438,40.41453319997527,right,7.5,1,1,0.4904378999490291,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
30,0.5,7.5,40.43041899998207,,40.4146141000092,40.43041899998207,40.91387039993424,40.91387039993424,40.93048700003419,41.21637559996452,41.416212199954316,left,-7.5,1,1,0.4863025000086054,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
31,0.5,7.0,41.431722400011495,,41.416384499985725,41.431722400011495,41.93049429997336,41.93049429997336,41.94708960002754,42.23136989993509,42.44929839996621,left,-7.0,1,1,0.5017851999728009,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
32,0.5,7.0,42.46463129995391,,42.44944709993433,42.46463129995391,42.9659026999725,42.9659026999725,42.9659026999725,43.28063359996304,43.482021100004204,right,7.0,1,1,0.5037602001102641,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
33,0.5,7.0,43.49682789994404,,43.48213110002689,43.49682789994404,43.98070129996631,43.98070129996631,43.997071599937044,44.280617799959145,44.316455099964514,left,-7.0,1,1,0.33172270003706217,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
34,0.5,6.5,44.33336970000528,,44.31663270003628,44.33336970000528,44.81594719993882,44.81594719993882,44.83083140000235,45.13304660003632,45.21744939999189,right,6.5,1,1,0.3859488000161946,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
35,0.5,6.5,45.232808899949305,,45.2176662000129,45.232808899949305,45.73172759998124,45.73172759998124,45.73172759998124,46.047186900046654,46.048576900037006,right,6.5,0,0,0.3099188000196591,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
