key_resp.keys,key_resp.corr,key_resp.rt,,,seqRT,ranRT
v,1,0.8197058,,,,
c,1,0.7651035,,,,
x,1,0.4185127,,,,
v,1,0.6019197,,,,
z,1,0.4110182,,,,
z,1,0.6476492,,,,
c,1,0.8637255,,,,
v,1,0.554705,,,,
x,1,0.7253149,,,,
c,1,0.834994,,,,
z,1,1.2790177,,,,
v,1,0.6397912,,,,
x,1,0.851908,,,,
z,1,0.5638902,,,,
v,1,0.8446993,,,,
c,1,0.7738996,,,,
x,1,1.0110827,,,,
z,1,0.7482116,,,,
v,1,1.4870403,,,,
c,1,0.7208986,,,,
x,1,1.4959243,,,,
x,1,0.4625543,,,,
v,1,1.1674432,,,,
z,1,0.5119748,,,,
c,1,0.7641846,,,,
v,1,1.0161231,,,,
c,1,0.8382683,,,,
x,1,0.9281675,,,,
z,1,1.3170409,,,,
v,1,0.7174436,,,,
z,1,0.6747901,,,,
c,1,0.657472,,,,
x,1,0.6277031,,,,
v,1,0.8098273,,,,
c,1,0.5327256,,,,
z,1,0.7416348,,,,
x,1,0.5788846,,,,
v,1,0.4017232,,,,
c,1,0.6260436,,,,
x,1,0.8896693,,,,
z,1,0.3656777,,,,
x,1,0.8741578,,,,
v,1,0.6082463,,,,
z,1,0.4525271,,,,
c,1,0.3331841,,,,
z,1,0.6793115,,,,
v,1,0.5449669,,,,
c,1,1.1733975,,,,
x,1,0.2719102,,,,
v,1,0.7849791,,,,
x,1,0.9239748,,,,
z,1,0.4773438,,,,
c,1,0.4263491,,,,
z,1,0.9053106,,,,
x,1,0.3508232,,,,
c,1,0.3169143,,,,
v,1,0.3100046,,,,
z,1,0.853198,,,,
x,1,0.7826477,,,,
v,1,0.4287359,,,,
c,1,0.2791413,,,,
z,1,1.2955464,,,,
x,1,0.6975913,,,,
c,1,0.3750633,,,,
v,1,0.2745982,,,,
c,1,0.7711035,,,,
z,1,0.8308464,,,,
v,1,0.6934206,,,,
x,1,0.2524471,,,,
v,1,0.8471976,,,,
z,1,0.9324423,,,,
c,1,0.786946,,,,
x,1,0.255673,,,,
c,1,1.0260927,,,,
z,1,0.7934229,,,,
v,1,0.8932576,,,,
x,1,0.2416604,,,,
v,1,0.5911856,,,,
x,1,0.7080913,,,,
z,1,0.7752538,,,,
c,1,0.0366097,,,,
v,1,0.7288767,,,,
c,1,0.3698426,,,,
x,1,0.3587415,,,,
z,1,0.2489833,,,,
x,1,1.082756,,,,
c,1,0.761964,,,,
z,1,0.343004,,,,
v,1,0.2615915,,,,
x,1,0.6982276,,,,
v,1,0.5782349,,,,
z,1,0.6393704,,,,
c,1,0.284502,,,,
v,1,0.6787098,,,,
z,1,0.8442264,,,,
c,1,0.4291965,,,,
x,1,0.4077953,,,,
c,1,1.1741796,,,,
v,1,1.4513279,,,,
z,1,1.5794272,,,,
x,1,0.855079,,,,
c,1,0.7539675,,,,
z,1,0.7937491,,,,
x,1,0.7657659,,,,
v,1,0.3786682,,,,
x,1,0.8432245,,,,
c,1,1.3796145,,,,
v,1,0.5821405,,,,
z,1,0.6538551,,,,
z,1,0.9150857,,,,
v,1,1.0740749,,,,
c,1,0.635285,,,,
x,1,0.3160142,,,,
v,1,2.751057,,,,
z,1,0.7999607,,,,
c,1,0.5320709,,,,
x,1,0.3059996,,,,
x,1,0.8473818,,,,
z,1,0.9346024,,,,
c,1,2.4291309,,,,
v,1,1.0272442,,,,
z,1,0.7964751,,,,
v,1,1.1068292,,,,
x,1,0.7036094,,,,
c,1,0.4200879,,,,
